Date,Open,High,Low,Close,Adj Close,Volume
2022-08-04,5.210000,5.260000,5.200000,5.230000,5.181177,22341600
2022-08-05,5.150000,5.260000,5.140000,5.260000,5.210897,30402400
2022-08-08,5.220000,5.280000,5.180000,5.200000,5.151457,26467600
2022-08-09,5.180000,5.190000,5.070000,5.080000,5.032577,25100300
2022-08-10,5.200000,5.220000,5.160000,5.210000,5.161364,17977300
2022-08-11,5.210000,5.250000,5.190000,5.210000,5.161364,21254200
2022-08-12,5.170000,5.210000,5.160000,5.210000,5.161364,16518900
2022-08-15,5.100000,5.130000,5.060000,5.110000,5.062297,22269500
2022-08-16,5.100000,5.180000,5.090000,5.170000,5.121737,21870800
2022-08-17,5.120000,5.130000,5.020000,5.060000,5.012764,25897200
2022-08-18,5.070000,5.130000,5.040000,5.130000,5.082111,15329500
2022-08-19,5.050000,5.080000,5.000000,5.040000,4.992951,27616300
2022-08-22,4.950000,4.960000,4.910000,4.950000,4.903790,27471700
2022-08-23,4.910000,5.010000,4.910000,4.940000,4.893884,35087100
2022-08-24,4.910000,4.990000,4.900000,4.950000,4.903790,25349200
2022-08-25,4.980000,5.070000,4.970000,5.070000,5.022671,26456700
2022-08-26,5.020000,5.060000,4.870000,4.870000,4.824538,44135600
2022-08-29,4.820000,4.860000,4.800000,4.810000,4.765098,32945500
2022-08-30,4.860000,4.880000,4.790000,4.820000,4.775005,25572400
2022-08-31,5.040000,5.090000,5.030000,5.050000,5.002857,39526900
2022-09-01,5.000000,5.020000,4.910000,4.980000,4.933511,29130100
2022-09-02,5.050000,5.080000,4.920000,4.930000,4.883977,34458000
2022-09-06,4.970000,4.980000,4.880000,4.920000,4.874071,30641000
2022-09-07,4.940000,5.010000,4.910000,5.000000,4.953324,21416600
2022-09-08,4.920000,5.010000,4.900000,5.000000,4.953324,23650700
2022-09-09,5.050000,5.100000,5.040000,5.070000,5.022671,17638500
2022-09-12,5.140000,5.190000,5.110000,5.130000,5.082111,21401800
2022-09-13,5.070000,5.090000,4.960000,4.960000,4.913697,23910300
2022-09-14,4.940000,4.980000,4.890000,4.940000,4.893884,24689800
2022-09-15,4.910000,4.940000,4.860000,4.870000,4.824538,22873500
2022-09-16,4.730000,4.770000,4.590000,4.630000,4.586778,58161100
2022-09-19,4.550000,4.690000,4.550000,4.680000,4.636311,25387800
2022-09-20,4.580000,4.630000,4.560000,4.590000,4.547152,13963600
2022-09-21,4.550000,4.630000,4.500000,4.500000,4.457992,19343200
2022-09-22,4.490000,4.500000,4.420000,4.440000,4.398551,23289000
2022-09-23,4.290000,4.320000,4.220000,4.260000,4.220232,32212500
2022-09-26,4.240000,4.300000,4.200000,4.240000,4.200418,23056400
2022-09-27,4.290000,4.320000,4.190000,4.220000,4.180605,24358700
2022-09-28,4.260000,4.370000,4.240000,4.360000,4.319298,22930100
2022-09-29,4.280000,4.290000,4.210000,4.280000,4.240046,19736200
2022-09-30,4.260000,4.340000,4.260000,4.270000,4.230138,16814300
2022-10-03,4.360000,4.450000,4.330000,4.390000,4.349019,22992300
2022-10-04,4.540000,4.620000,4.530000,4.610000,4.566965,21365700
2022-10-05,4.540000,4.610000,4.510000,4.560000,4.517432,17768000
2022-10-06,4.510000,4.550000,4.480000,4.510000,4.467898,18371200
2022-10-07,4.440000,4.450000,4.390000,4.420000,4.378738,19125100
2022-10-10,4.410000,4.420000,4.320000,4.350000,4.309392,15831700
2022-10-11,4.360000,4.400000,4.290000,4.310000,4.269765,21482800
2022-10-12,4.370000,4.410000,4.350000,4.350000,4.309392,19241100
2022-10-13,4.360000,4.540000,4.320000,4.520000,4.477805,38366500
2022-10-14,4.550000,4.570000,4.430000,4.450000,4.408458,29990100
2022-10-17,4.610000,4.660000,4.560000,4.580000,4.537245,39444600
2022-10-18,4.720000,4.730000,4.620000,4.650000,4.606592,46038800
2022-10-19,4.610000,4.640000,4.530000,4.560000,4.517432,34254500
2022-10-20,4.230000,4.330000,4.080000,4.160000,4.121165,62443200
2022-10-21,4.140000,4.250000,4.130000,4.250000,4.210325,36983900
2022-10-24,4.280000,4.340000,4.240000,4.290000,4.270046,38255600
2022-10-25,4.340000,4.460000,4.320000,4.410000,4.389488,31484900
2022-10-26,4.410000,4.490000,4.410000,4.430000,4.409395,30466100
2022-10-27,4.460000,4.480000,4.360000,4.360000,4.339721,25420500
2022-10-28,4.400000,4.450000,4.360000,4.440000,4.419349,20281800
2022-10-31,4.380000,4.440000,4.370000,4.400000,4.379535,20751600
2022-11-01,4.440000,4.470000,4.390000,4.420000,4.399442,26239700
2022-11-02,4.400000,4.480000,4.330000,4.340000,4.319814,22668100
2022-11-03,4.280000,4.290000,4.220000,4.220000,4.200372,25378600
2022-11-04,4.340000,4.400000,4.300000,4.370000,4.349674,27027400
2022-11-07,4.380000,4.430000,4.360000,4.410000,4.389488,16964900
2022-11-08,4.490000,4.520000,4.420000,4.460000,4.439256,30153200
2022-11-09,4.440000,4.480000,4.380000,4.380000,4.359628,20954100
2022-11-10,4.560000,4.650000,4.520000,4.640000,4.618418,27145400
2022-11-11,4.660000,4.780000,4.640000,4.750000,4.727907,24509000
2022-11-14,4.740000,4.790000,4.720000,4.740000,4.717953,19614000
2022-11-15,4.810000,4.870000,4.750000,4.800000,4.777675,36392600
2022-11-16,4.790000,4.800000,4.700000,4.710000,4.688093,21253000
2022-11-17,4.640000,4.740000,4.640000,4.730000,4.708000,29736200
2022-11-18,4.800000,4.840000,4.780000,4.790000,4.767721,19713400
2022-11-21,4.710000,4.760000,4.700000,4.710000,4.688093,18587100
2022-11-22,4.730000,4.780000,4.730000,4.780000,4.757768,12850000
2022-11-23,4.790000,4.840000,4.780000,4.790000,4.767721,14094600
2022-11-25,4.810000,4.850000,4.800000,4.820000,4.797582,8939500
2022-11-28,4.790000,4.800000,4.690000,4.700000,4.678139,15059300
2022-11-29,4.700000,4.740000,4.680000,4.740000,4.717953,18886600
2022-11-30,4.760000,4.930000,4.730000,4.930000,4.907070,28737400
2022-12-01,5.000000,5.020000,4.970000,5.000000,4.976744,21165600
2022-12-02,5.000000,5.080000,5.000000,5.050000,5.026512,17839200
